Transaction_ID,Date,Date_Key,Store_ID,Product_ID,Quantity_Sold,Price_per_Unit,Total_Sale_Value,Discount_Percentage,Final_Sale_Value,Payment_Mode,Cashier_ID,Customer_ID
DMT100041,2024-08-09,41,STR18,PRD2689,18,205.43,3697.74,5,3512.85,UPI,EMP380,CUST9397
DMT100042,2023-08-20,42,STR10,PRD9529,1,474.98,474.98,15,403.73,Cash,EMP528,CUST5168
DMT100043,2025-07-01,43,STR14,PRD6119,3,124.29,372.87,15,316.94,Wallet,EMP677,CUST6232
DMT100044,2023-07-20,44,STR49,PRD1368,6,433.24,2599.44,5,2469.47,Wallet,EMP124,CUST6914
DMT100045,2025-06-15,45,STR22,PRD6114,6,176.16,1056.96,0,1056.96,UPI,EMP482,CUST3552
DMT100046,2025-07-09,20,STR7,PRD4438,1,183.17,183.17,0,183.17,Cash,EMP963,CUST3214
DMT100047,2025-02-01,46,STR6,PRD6257,3,234.59,703.77,10,633.39,Cash,EMP144,CUST7135
DMT100048,2025-04-21,47,STR25,PRD4285,13,66.87,869.31,15,738.91,Cash,EMP618,CUST6304
DMT100049,2024-03-22,48,STR7,PRD4154,7,30.22,211.54,15,179.81,Cash,EMP407,CUST5757
DMT100050,2025-07-06,49,STR23,PRD5695,4,28.63,114.52,20,91.62,UPI,EMP758,CUST5188
DMT100051,2023-12-04,50,STR23,PRD5532,17,65.92,1120.64,0,1120.64,UPI,EMP759,CUST3052
DMT100052,2024-04-30,51,STR39,PRD9720,12,169.85,2038.2,10,1834.38,UPI,EMP700,CUST3770
DMT100053,2025-07-01,43,STR17,PRD6228,6,129.87,779.22,0,779.22,Cash,EMP858,CUST9347
DMT100054,2023-10-27,52,STR3,PRD8227,1,230.15,230.15,20,184.12,Card,EMP442,CUST6588
DMT100055,2025-02-20,53,STR47,PRD2927,1,118.21,118.21,5,112.3,Wallet,EMP773,CUST2164
DMT100056,2024-08-17,28,STR30,PRD5467,5,147.43,737.15,20,589.72,Wallet,EMP189,CUST5247
DMT100057,2023-07-25,54,STR35,PRD3446,8,480.67,3845.36,5,3653.09,Wallet,EMP586,CUST2493
DMT100058,2025-04-26,55,STR8,PRD3580,19,123.99,2355.81,10,2120.23,Cash,EMP866,CUST4851
DMT100059,2025-06-17,56,STR25,PRD5483,4,40.52,162.08,15,137.77,Cash,EMP114,CUST7423
DMT100060,2023-07-23,57,STR6,PRD2875,12,447.74,5372.88,10,4835.59,Card,EMP365,CUST4320
DMT100061,2023-07-22,58,STR36,PRD1249,5,134.9,674.5,20,539.6,Card,EMP228,CUST3423
DMT100062,2025-01-09,59,STR19,PRD9422,7,270.6,1894.2,0,1894.2,Cash,EMP926,CUST6752
DMT100063,2024-02-29,60,STR41,PRD2677,3,71.08,213.24,5,202.58,Wallet,EMP150,CUST6165
DMT100064,2025-01-10,61,STR40,PRD4384,7,179.44,1256.08,15,1067.67,Card,EMP877,CUST9649
DMT100065,2024-02-08,62,STR24,PRD9888,8,185.81,1486.48,0,1486.48,UPI,EMP389,CUST8064
DMT100066,2024-08-21,63,STR37,PRD6739,13,481.15,6254.95,15,5316.71,Wallet,EMP590,CUST2778
DMT100067,2024-06-03,64,STR13,PRD6218,7,171.7,1201.9,10,1081.71,UPI,EMP315,CUST4853
DMT100068,2024-01-10,65,STR46,PRD5440,3,131.01,393.03,0,393.03,Cash,EMP959,CUST4458
DMT100069,2024-10-16,66,STR5,PRD3319,10,115.51,1155.1,20,924.08,Cash,EMP122,CUST4109
DMT100070,2024-04-11,67,STR3,PRD5641,1,138.83,138.83,10,124.95,Cash,EMP636,CUST4498
DMT100071,2024-12-03,68,STR43,PRD5011,19,483.37,9184.03,5,8724.83,Cash,EMP948,CUST1176
DMT100072,2025-04-12,26,STR15,PRD3806,18,318.77,5737.86,5,5450.97,Card,EMP550,CUST6698
DMT100073,2025-05-10,69,STR50,PRD2167,6,157.97,947.82,0,947.82,Wallet,EMP672,CUST8005
DMT100074,2025-04-09,70,STR19,PRD6101,3,199.79,599.37,10,539.43,Wallet,EMP656,CUST2630
DMT100075,2024-07-08,71,STR6,PRD6549,6,167.76,1006.56,20,805.25,UPI,EMP941,CUST4723
DMT100076,2023-09-28,72,STR15,PRD9856,16,326.11,5217.76,15,4435.1,Wallet,EMP551,CUST2767
DMT100077,2024-11-27,73,STR7,PRD8268,2,236.46,472.92,5,449.27,UPI,EMP439,CUST2276
DMT100078,2024-07-25,74,STR25,PRD1831,6,311.69,1870.14,15,1589.62,Card,EMP229,CUST3029
DMT100079,2024-11-27,73,STR18,PRD3131,8,160.47,1283.76,20,1027.01,Wallet,EMP495,CUST4999
DMT100080,2024-01-22,75,STR30,PRD1475,4,122.7,490.8,0,490.8,Card,EMP329,CUST9071
DMT100081,2025-01-07,76,STR41,PRD8712,18,76.56,1378.08,5,1309.18,UPI,EMP264,CUST3288
DMT100082,2024-11-14,77,STR24,PRD1826,20,186.53,3730.6,0,3730.6,Wallet,EMP269,CUST4385
DMT100083,2024-03-18,78,STR11,PRD2735,14,189.58,2654.12,20,2123.3,Cash,EMP992,CUST7888
DMT100084,2025-03-25,79,STR24,PRD7284,16,278.58,4457.28,0,4457.28,UPI,EMP866,CUST8690
DMT100085,2025-03-14,80,STR23,PRD1881,6,417.82,2506.92,10,2256.23,UPI,EMP634,CUST1886
DMT100086,2023-08-23,81,STR14,PRD2410,2,338.7,677.4,0,677.4,Cash,EMP993,CUST9382
DMT100087,2024-08-15,82,STR43,PRD7987,4,293.13,1172.52,20,938.02,Wallet,EMP360,CUST3955
DMT100088,2023-09-20,83,STR18,PRD7421,6,484.14,2904.84,0,2904.84,Card,EMP402,CUST3043
DMT100089,2023-08-18,84,STR45,PRD3932,20,175.29,3505.8,5,3330.51,Cash,EMP218,CUST4461
DMT100090,2024-05-12,85,STR44,PRD8304,12,374.68,4496.16,15,3821.74,Card,EMP338,CUST7069
DMT100091,2024-02-05,86,STR42,PRD6826,20,154.2,3084.0,20,2467.2,Cash,EMP336,CUST3882
DMT100092,2024-04-27,87,STR5,PRD6119,1,246.46,246.46,0,246.46,Card,EMP795,CUST3487
DMT100093,2023-08-13,88,STR39,PRD6444,8,464.34,3714.72,0,3714.72,Cash,EMP296,CUST2251
DMT100094,2025-02-06,89,STR41,PRD4246,4,53.37,213.48,10,192.13,Card,EMP429,CUST2920
DMT100095,2024-12-17,90,STR11,PRD9740,15,207.35,3110.25,15,2643.71,Card,EMP665,CUST2254
DMT100096,2024-11-05,91,STR35,PRD2286,16,26.93,430.88,20,344.7,Wallet,EMP767,CUST2701
DMT100097,2024-03-11,92,STR47,PRD8629,11,394.77,4342.47,0,4342.47,Card,EMP155,CUST9463
DMT100098,2023-08-05,93,STR16,PRD3159,13,455.42,5920.46,10,5328.41,Wallet,EMP982,CUST1490
DMT100099,2023-08-05,93,STR11,PRD2522,19,387.84,7368.96,15,6263.62,Card,EMP279,CUST9999
DMT100100,2024-09-26,94,STR30,PRD8672,1,134.93,134.93,10,121.44,UPI,EMP799,CUST4539
DMT100101,2025-07-07,95,STR25,PRD2593,1,321.94,321.94,10,289.75,Cash,EMP175,CUST1800
DMT100102,2025-05-09,96,STR18,PRD8464,1,389.46,389.46,20,311.57,Cash,EMP161,CUST9312
DMT100103,2024-04-18,97,STR41,PRD6085,4,208.22,832.88,10,749.59,Card,EMP320,CUST8898
DMT100104,2024-08-04,98,STR45,PRD8625,19,122.98,2336.62,0,2336.62,Cash,EMP591,CUST4494
DMT100105,2024-06-03,64,STR36,PRD8709,3,372.12,1116.36,10,1004.72,Card,EMP866,CUST4587
DMT100106,2024-02-28,99,STR15,PRD4796,15,329.32,4939.8,20,3951.84,Cash,EMP588,CUST4385
DMT100107,2024-10-09,100,STR44,PRD4666,13,481.35,6257.55,0,6257.55,Cash,EMP115,CUST1765
DMT100108,2025-05-22,101,STR21,PRD3354,11,154.47,1699.17,10,1529.25,Card,EMP128,CUST2035
DMT100109,2025-01-24,102,STR50,PRD5227,7,5.93,41.51,0,41.51,Wallet,EMP245,CUST4084
DMT100110,2025-02-20,53,STR50,PRD6954,6,14.03,84.18,20,67.34,Card,EMP344,CUST9458
DMT100111,2023-08-20,42,STR4,PRD7423,10,55.37,553.7,5,526.01,Card,EMP945,CUST2350
DMT100112,2024-09-27,103,STR15,PRD4004,10,203.22,2032.2,20,1625.76,Wallet,EMP319,CUST7926
DMT100113,2025-02-27,104,STR3,PRD6412,17,298.49,5074.33,10,4566.9,Cash,EMP425,CUST1344
DMT100114,2024-10-30,105,STR21,PRD6320,8,488.02,3904.16,5,3708.95,UPI,EMP655,CUST3649
DMT100115,2024-05-01,106,STR26,PRD8426,9,318.63,2867.67,15,2437.52,Cash,EMP242,CUST1292
DMT100116,2025-06-14,107,STR18,PRD8987,7,52.53,367.71,20,294.17,Wallet,EMP303,CUST9358
DMT100117,2024-07-01,108,STR5,PRD1495,17,366.12,6224.04,20,4979.23,Wallet,EMP438,CUST3510
DMT100118,2023-12-25,109,STR14,PRD2070,16,248.89,3982.24,0,3982.24,UPI,EMP923,CUST7668
DMT100119,2024-08-11,110,STR37,PRD8787,4,296.98,1187.92,0,1187.92,Card,EMP979,CUST9297
DMT100120,2024-08-04,98,STR46,PRD2849,12,361.58,4338.96,20,3471.17,UPI,EMP980,CUST2937
DMT100121,2023-10-25,111,STR21,PRD6758,3,404.29,1212.87,5,1152.23,Card,EMP124,CUST9939
DMT100122,2023-09-29,112,STR14,PRD8842,11,348.3,3831.3,15,3256.61,Card,EMP547,CUST2953
DMT100123,2024-09-20,8,STR42,PRD8556,10,487.23,4872.3,20,3897.84,Card,EMP278,CUST5357
DMT100124,2024-02-28,99,STR32,PRD3798,16,66.62,1065.92,20,852.74,UPI,EMP579,CUST4870
DMT100125,2024-05-19,113,STR26,PRD5624,10,177.9,1779.0,0,1779.0,UPI,EMP417,CUST4341
DMT100126,2024-07-15,114,STR42,PRD6711,14,163.07,2282.98,0,2282.98,Wallet,EMP785,CUST6206
DMT100127,2025-06-28,115,STR30,PRD3087,20,173.32,3466.4,20,2773.12,UPI,EMP184,CUST9508
DMT100128,2024-06-14,116,STR10,PRD9322,4,25.66,102.64,20,82.11,UPI,EMP859,CUST7908
DMT100129,2024-12-10,117,STR17,PRD2686,4,357.87,1431.48,15,1216.76,Wallet,EMP930,CUST3936
DMT100130,2025-01-05,118,STR9,PRD7646,15,252.16,3782.4,0,3782.4,Wallet,EMP952,CUST9885
DMT100131,2023-09-14,119,STR16,PRD2752,2,145.28,290.56,15,246.98,Card,EMP902,CUST5065
DMT100132,2024-11-03,120,STR48,PRD6339,18,358.37,6450.66,20,5160.53,Cash,EMP478,CUST7049
DMT100133,2025-05-09,96,STR36,PRD2162,15,204.2,3063.0,0,3063.0,Wallet,EMP584,CUST9281
DMT100134,2024-05-13,121,STR35,PRD5949,1,65.72,65.72,10,59.15,Cash,EMP154,CUST1137
DMT100135,2025-04-09,70,STR17,PRD9728,5,17.57,87.85,10,79.06,UPI,EMP620,CUST6936
DMT100136,2024-01-06,122,STR48,PRD8552,16,306.2,4899.2,0,4899.2,UPI,EMP978,CUST9892
DMT100137,2025-01-29,123,STR38,PRD7566,5,197.21,986.05,15,838.14,UPI,EMP995,CUST9596
DMT100138,2023-08-28,13,STR28,PRD7773,18,14.55,261.9,15,222.62,Cash,EMP935,CUST8404
DMT100139,2025-01-01,124,STR38,PRD4908,6,232.76,1396.56,15,1187.08,Card,EMP643,CUST8962
DMT100140,2024-10-11,125,STR26,PRD4992,2,309.81,619.62,0,619.62,Wallet,EMP306,CUST8137
DMT100141,2024-04-26,126,STR24,PRD9977,9,20.46,184.14,0,184.14,UPI,EMP271,CUST9196
DMT100142,2025-05-28,127,STR15,PRD3605,2,423.96,847.92,15,720.73,Card,EMP619,CUST1593
DMT100143,2024-12-29,128,STR9,PRD8903,2,380.2,760.4,15,646.34,UPI,EMP502,CUST8492
DMT100144,2024-09-08,129,STR33,PRD7288,20,221.97,4439.4,5,4217.43,UPI,EMP973,CUST7682
DMT100145,2023-11-23,130,STR32,PRD2082,8,22.46,179.68,20,143.74,Card,EMP136,CUST9109
DMT100146,2024-07-26,131,STR6,PRD6582,17,194.69,3309.73,10,2978.76,Card,EMP370,CUST1843
DMT100147,2025-04-21,47,STR49,PRD4411,1,288.53,288.53,5,274.1,Wallet,EMP198,CUST3922
DMT100148,2024-08-20,132,STR4,PRD8063,18,324.87,5847.66,0,5847.66,Card,EMP489,CUST5578
DMT100149,2024-05-28,133,STR8,PRD8132,7,289.44,2026.08,15,1722.17,UPI,EMP202,CUST5648
DMT100150,2024-12-16,134,STR10,PRD6606,10,247.0,2470.0,15,2099.5,Wallet,EMP419,CUST7860
DMT100151,2024-03-18,78,STR41,PRD9921,19,219.08,4162.52,0,4162.52,Wallet,EMP330,CUST5280
DMT100152,2024-02-07,135,STR11,PRD4869,4,300.7,1202.8,20,962.24,Wallet,EMP449,CUST5479
DMT100153,2025-06-04,136,STR44,PRD3835,6,472.36,2834.16,0,2834.16,Wallet,EMP959,CUST3596
DMT100154,2025-02-17,137,STR28,PRD2276,7,159.74,1118.18,10,1006.36,Card,EMP386,CUST4270
DMT100155,2023-07-24,138,STR39,PRD8972,6,341.55,2049.3,20,1639.44,Card,EMP325,CUST6642
DMT100156,2023-08-26,36,STR5,PRD2873,4,201.94,807.76,10,726.98,Wallet,EMP928,CUST9677
DMT100157,2024-06-16,139,STR25,PRD8584,13,353.3,4592.9,20,3674.32,Wallet,EMP830,CUST7251
DMT100158,2025-03-18,140,STR25,PRD6330,1,59.37,59.37,5,56.4,Wallet,EMP411,CUST5453
DMT100159,2023-11-15,141,STR39,PRD2599,1,400.07,400.07,10,360.06,Cash,EMP698,CUST9425
DMT100160,2024-01-25,142,STR30,PRD8294,12,291.26,3495.12,0,3495.12,Wallet,EMP214,CUST5478
DMT100161,2024-01-11,143,STR34,PRD3886,20,391.39,7827.8,10,7045.02,UPI,EMP832,CUST1462
DMT100162,2024-02-05,86,STR17,PRD6046,7,333.97,2337.79,20,1870.23,Wallet,EMP870,CUST4043
DMT100163,2024-03-01,144,STR36,PRD7648,6,386.47,2318.82,15,1971.0,Cash,EMP763,CUST8729
DMT100164,2025-03-19,145,STR1,PRD2140,9,462.06,4158.54,15,3534.76,UPI,EMP822,CUST1479
DMT100165,2024-05-15,146,STR44,PRD2781,3,214.99,644.97,20,515.98,UPI,EMP615,CUST3379
DMT100166,2024-04-09,147,STR47,PRD7208,18,203.89,3670.02,10,3303.02,UPI,EMP686,CUST1662
DMT100167,2023-07-29,148,STR8,PRD6364,8,128.74,1029.92,15,875.43,Card,EMP254,CUST8939
DMT100168,2025-01-18,149,STR44,PRD9098,5,499.12,2495.6,5,2370.82,Card,EMP960,CUST7105
DMT100169,2025-06-12,1,STR35,PRD2007,12,396.34,4756.08,10,4280.47,UPI,EMP414,CUST5188
DMT100170,2025-06-30,150,STR49,PRD2483,6,245.97,1475.82,0,1475.82,Card,EMP944,CUST3374
DMT100171,2024-06-12,151,STR18,PRD4565,15,123.88,1858.2,0,1858.2,Cash,EMP454,CUST3505
DMT100172,2025-01-25,152,STR50,PRD3276,13,440.2,5722.6,5,5436.47,UPI,EMP780,CUST5319
DMT100173,2023-08-22,12,STR42,PRD1003,6,398.81,2392.86,0,2392.86,Wallet,EMP422,CUST1605
DMT100174,2023-11-09,153,STR22,PRD3403,12,353.1,4237.2,5,4025.34,UPI,EMP563,CUST2485
DMT100175,2023-09-09,154,STR8,PRD3444,5,299.2,1496.0,0,1496.0,Card,EMP846,CUST5934
DMT100176,2024-03-07,155,STR19,PRD8421,2,27.51,55.02,10,49.52,UPI,EMP393,CUST8596
DMT100177,2024-05-19,113,STR28,PRD9704,6,33.61,201.66,0,201.66,UPI,EMP766,CUST7338
DMT100178,2025-04-09,70,STR11,PRD5775,3,68.4,205.2,20,164.16,Wallet,EMP530,CUST9861
DMT100179,2025-03-30,156,STR30,PRD7389,8,269.32,2154.56,15,1831.38,Cash,EMP741,CUST4393
DMT100180,2024-04-23,157,STR1,PRD8326,4,111.13,444.52,0,444.52,Wallet,EMP402,CUST7580
DMT100181,2023-09-16,158,STR47,PRD4205,4,390.65,1562.6,15,1328.21,UPI,EMP840,CUST4116
DMT100182,2023-08-04,159,STR47,PRD4369,14,483.68,6771.52,10,6094.37,Card,EMP338,CUST2765
DMT100183,2024-01-21,160,STR17,PRD6187,15,119.09,1786.35,20,1429.08,Wallet,EMP300,CUST6502
DMT100184,2023-08-02,161,STR33,PRD5910,19,175.98,3343.62,20,2674.9,Cash,EMP336,CUST7416
DMT100185,2025-01-16,162,STR49,PRD5989,12,57.7,692.4,20,553.92,Wallet,EMP157,CUST6850
DMT100186,2023-09-01,163,STR12,PRD8122,10,100.96,1009.6,15,858.16,Cash,EMP378,CUST9347
DMT100187,2025-02-15,164,STR33,PRD6640,6,8.61,51.66,5,49.08,Card,EMP936,CUST7147
DMT100188,2025-01-10,61,STR7,PRD2462,17,139.69,2374.73,5,2255.99,UPI,EMP116,CUST7825
DMT100189,2024-12-21,165,STR41,PRD1133,7,28.33,198.31,10,178.48,Wallet,EMP322,CUST9598
DMT100190,2025-05-13,166,STR20,PRD9362,6,236.71,1420.26,20,1136.21,Card,EMP145,CUST2747
DMT100191,2025-03-01,167,STR41,PRD7622,13,429.35,5581.55,10,5023.4,Cash,EMP782,CUST5475
DMT100192,2024-10-09,100,STR33,PRD3089,16,86.66,1386.56,15,1178.58,Cash,EMP781,CUST1885
DMT100193,2023-11-17,168,STR39,PRD5819,1,319.45,319.45,15,271.53,Wallet,EMP962,CUST5038
DMT100194,2025-04-30,169,STR13,PRD2022,4,487.91,1951.64,10,1756.48,Cash,EMP818,CUST5442
DMT100195,2023-07-21,170,STR10,PRD7049,3,117.22,351.66,0,351.66,Cash,EMP447,CUST9827
DMT100196,2023-10-24,171,STR24,PRD9992,13,205.57,2672.41,20,2137.93,UPI,EMP660,CUST5131
DMT100197,2025-05-28,127,STR49,PRD1870,15,337.82,5067.3,10,4560.57,Wallet,EMP896,CUST6576
DMT100198,2023-10-23,172,STR11,PRD1013,17,116.38,1978.46,20,1582.77,UPI,EMP183,CUST5541
DMT100199,2024-09-27,103,STR35,PRD6885,4,242.49,969.96,10,872.96,Card,EMP612,CUST6314
DMT100200,2023-12-04,50,STR50,PRD2797,4,387.09,1548.36,20,1238.69,UPI,EMP221,CUST4959
DMT100201,2024-06-12,151,STR34,PRD5623,14,286.05,4004.7,5,3804.47,Card,EMP468,CUST7903
DMT100202,2023-11-24,173,STR1,PRD1510,15,223.61,3354.15,5,3186.44,Cash,EMP778,CUST8449
DMT100203,2024-11-07,174,STR39,PRD4854,18,410.99,7397.82,10,6658.04,Cash,EMP625,CUST4084
DMT100204,2023-07-30,175,STR21,PRD8073,14,35.97,503.58,0,503.58,UPI,EMP458,CUST3823
DMT100205,2023-12-02,176,STR32,PRD7459,5,348.78,1743.9,20,1395.12,UPI,EMP341,CUST7825
DMT100206,2024-03-19,177,STR2,PRD6212,20,262.48,5249.6,20,4199.68,Card,EMP451,CUST4113
DMT100207,2024-04-26,126,STR8,PRD7271,1,16.06,16.06,0,16.06,UPI,EMP103,CUST4569
DMT100208,2024-08-13,178,STR24,PRD7652,6,353.28,2119.68,0,2119.68,Cash,EMP975,CUST5269
DMT100209,2023-09-19,179,STR20,PRD7251,11,427.81,4705.91,0,4705.91,Cash,EMP994,CUST6645
DMT100210,2025-06-10,180,STR16,PRD8130,4,446.2,1784.8,5,1695.56,UPI,EMP540,CUST8289
DMT100211,2025-04-06,181,STR4,PRD9931,11,10.45,114.95,15,97.71,Cash,EMP228,CUST1953
DMT100212,2024-11-10,182,STR16,PRD4460,7,30.52,213.64,5,202.96,UPI,EMP716,CUST9303
DMT100213,2024-10-27,183,STR37,PRD3841,17,230.86,3924.62,5,3728.39,Card,EMP255,CUST2152
DMT100214,2024-07-08,71,STR6,PRD8780,13,361.85,4704.05,10,4233.65,Wallet,EMP469,CUST2174
DMT100215,2024-02-23,184,STR6,PRD3278,9,403.27,3629.43,20,2903.54,Cash,EMP958,CUST8765
DMT100216,2024-07-17,185,STR47,PRD4083,6,388.22,2329.32,5,2212.85,Wallet,EMP648,CUST6887
DMT100217,2024-10-22,186,STR32,PRD7301,14,221.29,3098.06,5,2943.16,Cash,EMP779,CUST7189
DMT100218,2023-07-18,187,STR5,PRD6902,15,185.55,2783.25,15,2365.76,Card,EMP134,CUST7684
DMT100219,2024-04-09,147,STR49,PRD7835,8,407.81,3262.48,15,2773.11,UPI,EMP851,CUST2423
DMT100220,2025-01-29,123,STR35,PRD3527,1,197.97,197.97,15,168.27,UPI,EMP867,CUST5773
DMT100221,2024-04-16,188,STR50,PRD5726,6,17.47,104.82,0,104.82,UPI,EMP710,CUST6011
DMT100222,2024-06-19,189,STR9,PRD3056,6,91.18,547.08,20,437.66,Card,EMP923,CUST7945
DMT100223,2023-08-19,190,STR9,PRD3200,2,425.65,851.3,10,766.17,Wallet,EMP711,CUST7373
DMT100224,2025-01-02,191,STR43,PRD1190,20,94.83,1896.6,20,1517.28,UPI,EMP382,CUST7113
DMT100225,2025-03-17,192,STR31,PRD2175,19,495.87,9421.53,10,8479.38,UPI,EMP726,CUST9510
DMT100226,2024-01-18,193,STR36,PRD1257,10,210.46,2104.6,5,1999.37,UPI,EMP164,CUST5392
DMT100227,2023-09-27,194,STR11,PRD3359,3,448.98,1346.94,15,1144.9,Wallet,EMP683,CUST1960
DMT100228,2024-05-14,195,STR17,PRD8974,16,238.08,3809.28,20,3047.42,UPI,EMP770,CUST9595
DMT100229,2024-04-24,196,STR34,PRD8155,11,297.69,3274.59,5,3110.86,Wallet,EMP972,CUST6740
DMT100230,2024-06-22,197,STR39,PRD3224,7,135.89,951.23,5,903.67,Wallet,EMP884,CUST8710
DMT100231,2024-04-05,198,STR28,PRD2387,1,390.31,390.31,20,312.25,UPI,EMP357,CUST3013
DMT100232,2023-11-27,199,STR14,PRD3248,10,38.81,388.1,10,349.29,Card,EMP892,CUST1805
DMT100233,2024-06-04,200,STR35,PRD7813,1,443.75,443.75,10,399.38,UPI,EMP345,CUST8919
DMT100234,2025-05-20,201,STR49,PRD8471,12,432.67,5192.04,10,4672.84,UPI,EMP553,CUST1708
DMT100235,2024-11-11,202,STR47,PRD7974,7,263.93,1847.51,5,1755.13,Card,EMP300,CUST7293
DMT100236,2023-12-24,203,STR45,PRD3945,3,217.44,652.32,10,587.09,Cash,EMP343,CUST2906
DMT100237,2025-07-05,19,STR13,PRD8444,20,293.72,5874.4,10,5286.96,UPI,EMP318,CUST2571
DMT100238,2023-12-06,204,STR46,PRD9346,17,48.79,829.43,20,663.54,Card,EMP168,CUST5207
DMT100239,2025-06-27,205,STR20,PRD7948,9,67.5,607.5,5,577.12,Wallet,EMP280,CUST1232
DMT100240,2024-06-26,206,STR26,PRD8373,3,68.57,205.71,0,205.71,Card,EMP933,CUST3881
