Product_ID,Product_Name,Product_Category,Brand,Supplier_ID
PRD2752,You,Grocery,BrandA,SUP279
PRD6339,Key,Bakery,BrandC,SUP209
PRD2162,Leg,Bakery,BrandD,SUP265
PRD5949,Own,Beverages,BrandA,SUP236
PRD9728,Arm,Dairy,BrandB,SUP286
PRD8552,Alone,Personal Care,BrandC,SUP268
PRD7566,Suddenly,Grocery,BrandC,SUP265
PRD7773,Prepare,Beverages,BrandA,SUP220
PRD4908,Camera,Beverages,BrandB,SUP232
PRD4992,Generation,Household,BrandB,SUP219
PRD9977,Bill,Beverages,BrandD,SUP208
PRD3605,Letter,Dairy,BrandD,SUP209
PRD8903,Nearly,Household,BrandB,SUP294
PRD7288,Idea,Household,BrandD,SUP202
PRD2082,Leader,Bakery,BrandC,SUP263
PRD6582,Bit,Grocery,BrandB,SUP204
PRD4411,Lay,Bakery,BrandA,SUP217
PRD8063,Describe,Grocery,BrandC,SUP269
PRD8132,Set,Beverages,BrandC,SUP266
PRD6606,Wrong,Personal Care,BrandC,SUP230
PRD9921,Business,Personal Care,BrandD,SUP253
PRD4869,Water,Dairy,BrandC,SUP215
PRD3835,Share,Personal Care,BrandC,SUP293
PRD2276,Green,Beverages,BrandD,SUP274
PRD8972,Important,Beverages,BrandD,SUP240
PRD2873,All,Personal Care,BrandB,SUP249
PRD8584,Middle,Dairy,BrandC,SUP225
PRD6330,Same,Grocery,BrandC,SUP228
PRD2599,Bill,Grocery,BrandC,SUP289
PRD8294,Create,Household,BrandC,SUP248
PRD3886,Billion,Grocery,BrandB,SUP234
PRD6046,Successful,Bakery,BrandC,SUP241
PRD7648,Us,Personal Care,BrandC,SUP280
PRD2140,Him,Personal Care,BrandA,SUP233
PRD2781,Fight,Grocery,BrandC,SUP279
PRD7208,Respond,Personal Care,BrandA,SUP300
PRD6364,Ask,Household,BrandD,SUP240
PRD9098,Leg,Beverages,BrandB,SUP202
PRD2007,General,Household,BrandB,SUP272
PRD2483,Girl,Dairy,BrandC,SUP217
PRD4565,Political,Dairy,BrandC,SUP237
PRD3276,Outside,Grocery,BrandD,SUP226
PRD1003,Hot,Beverages,BrandC,SUP212
PRD3403,Prepare,Grocery,BrandB,SUP239
PRD3444,Analysis,Household,BrandC,SUP299
PRD8421,Feel,Beverages,BrandD,SUP295
PRD9704,Stay,Grocery,BrandC,SUP268
PRD5775,Test,Bakery,BrandA,SUP210
PRD7389,Drop,Grocery,BrandB,SUP270
PRD8326,Former,Personal Care,BrandB,SUP255
PRD4205,Cause,Grocery,BrandB,SUP233
PRD4369,Join,Bakery,BrandA,SUP242
PRD6187,Light,Personal Care,BrandC,SUP280
PRD5910,Us,Grocery,BrandD,SUP282
PRD5989,Stuff,Beverages,BrandB,SUP286
PRD8122,Drug,Household,BrandD,SUP211
PRD6640,Need,Grocery,BrandB,SUP284
PRD2462,Nothing,Personal Care,BrandC,SUP250
PRD1133,During,Personal Care,BrandA,SUP223
PRD9362,Rest,Grocery,BrandB,SUP247
PRD7622,Rock,Grocery,BrandB,SUP208
PRD3089,Party,Household,BrandA,SUP203
PRD5819,Citizen,Bakery,BrandA,SUP233
PRD2022,Decade,Personal Care,BrandD,SUP208
PRD7049,Under,Household,BrandB,SUP220
PRD9992,Player,Bakery,BrandA,SUP218
PRD1870,Food,Dairy,BrandB,SUP259
PRD1013,Project,Household,BrandA,SUP260
PRD6885,TRUE,Personal Care,BrandD,SUP239
PRD2797,Yourself,Bakery,BrandA,SUP212
PRD5623,Explain,Bakery,BrandD,SUP238
PRD1510,Laugh,Household,BrandC,SUP236
PRD4854,Still,Beverages,BrandC,SUP200
PRD8073,Never,Household,BrandC,SUP221
PRD7459,Win,Bakery,BrandB,SUP221
PRD6212,Good,Personal Care,BrandC,SUP214
PRD7271,Whatever,Dairy,BrandD,SUP213
PRD7652,Government,Dairy,BrandC,SUP287
PRD7251,Situation,Household,BrandC,SUP207
PRD8130,How,Bakery,BrandD,SUP265
PRD9931,Quickly,Bakery,BrandB,SUP213
PRD4460,Keep,Beverages,BrandB,SUP215
PRD3841,Single,Bakery,BrandA,SUP215
PRD8780,Arrive,Personal Care,BrandB,SUP274
PRD3278,Speech,Dairy,BrandA,SUP217
PRD4083,Officer,Beverages,BrandA,SUP288
PRD7301,Choice,Beverages,BrandC,SUP214
PRD6902,Field,Dairy,BrandC,SUP246
PRD7835,Boy,Household,BrandD,SUP219
PRD3527,Fast,Household,BrandC,SUP204
PRD5726,Share,Beverages,BrandD,SUP200
PRD3056,Feeling,Bakery,BrandA,SUP201
PRD3200,Man,Dairy,BrandB,SUP275
PRD1190,Indeed,Beverages,BrandB,SUP214
PRD2175,Allow,Dairy,BrandA,SUP294
PRD1257,Development,Household,BrandA,SUP272
PRD3359,Along,Grocery,BrandB,SUP255
PRD8974,Military,Bakery,BrandC,SUP244
PRD8155,After,Dairy,BrandA,SUP297
PRD3224,Site,Beverages,BrandB,SUP254
PRD2387,Physical,Grocery,BrandA,SUP290
PRD3248,Man,Bakery,BrandB,SUP265
PRD7813,Building,Bakery,BrandD,SUP241
PRD8471,Hand,Household,BrandC,SUP233
PRD7974,Admit,Personal Care,BrandD,SUP248
PRD3945,Win,Beverages,BrandC,SUP293
PRD8444,Likely,Bakery,BrandD,SUP267
PRD9346,Final,Beverages,BrandB,SUP225
PRD7948,Far,Household,BrandC,SUP239
PRD8373,Including,Dairy,BrandC,SUP235
PRD7303,Phone,Beverages,BrandD,SUP260
PRD6821,Guy,Bakery,BrandA,SUP265
PRD4698,Door,Bakery,BrandD,SUP294
PRD4044,Effort,Bakery,BrandA,SUP276
PRD7959,Treat,Bakery,BrandB,SUP260
PRD1121,Charge,Household,BrandA,SUP215
PRD9161,Produce,Bakery,BrandC,SUP223
PRD4878,Position,Bakery,BrandC,SUP261
PRD9220,Deal,Bakery,BrandC,SUP256
PRD5411,Those,Bakery,BrandB,SUP282
PRD7731,Own,Dairy,BrandC,SUP250
PRD9948,Son,Dairy,BrandC,SUP259
PRD7012,Child,Dairy,BrandD,SUP223
PRD1548,Own,Household,BrandD,SUP261
PRD1620,Enter,Bakery,BrandB,SUP208
PRD8917,Great,Beverages,BrandA,SUP290
PRD7038,Example,Household,BrandA,SUP204
PRD2854,Catch,Personal Care,BrandB,SUP280
PRD8889,Simple,Beverages,BrandC,SUP254
PRD2311,Sure,Beverages,BrandA,SUP257
PRD3327,Modern,Beverages,BrandB,SUP265
PRD9624,Wide,Household,BrandC,SUP264
PRD5578,Treatment,Beverages,BrandB,SUP243
PRD8617,Popular,Personal Care,BrandB,SUP225
PRD9469,Past,Beverages,BrandD,SUP256
PRD2281,Recently,Household,BrandB,SUP252
PRD9574,Central,Household,BrandB,SUP269
PRD2449,Later,Personal Care,BrandA,SUP224
PRD5017,Wife,Dairy,BrandB,SUP296
PRD8740,Center,Bakery,BrandB,SUP251
PRD2279,Grow,Personal Care,BrandC,SUP299
PRD9834,American,Bakery,BrandD,SUP209
PRD6119,Administration,Dairy,BrandB,SUP249
PRD1864,Everything,Household,BrandB,SUP267
PRD6628,Environmental,Dairy,BrandC,SUP264
PRD9765,Quickly,Beverages,BrandD,SUP239
PRD1176,Guess,Bakery,BrandB,SUP251
PRD8681,Window,Beverages,BrandA,SUP219
PRD8438,Free,Bakery,BrandA,SUP223
PRD9399,Idea,Grocery,BrandC,SUP205
PRD8687,End,Personal Care,BrandB,SUP260
PRD6431,Medical,Household,BrandD,SUP282
PRD7897,Single,Bakery,BrandD,SUP252
PRD6782,Appear,Dairy,BrandD,SUP275
PRD5827,Pick,Personal Care,BrandA,SUP226
PRD5738,Control,Bakery,BrandA,SUP292
PRD3744,Material,Grocery,BrandC,SUP260
PRD1578,Body,Beverages,BrandB,SUP259
PRD5981,And,Beverages,BrandC,SUP233
PRD5267,Condition,Dairy,BrandD,SUP240
PRD2006,Region,Personal Care,BrandA,SUP237
PRD8752,Set,Beverages,BrandB,SUP295
PRD3770,Just,Household,BrandA,SUP218
PRD1845,Cold,Bakery,BrandD,SUP294
PRD5780,Understand,Personal Care,BrandD,SUP203
PRD1447,Mouth,Bakery,BrandC,SUP275
PRD5699,Ago,Beverages,BrandA,SUP273
PRD8942,Leg,Bakery,BrandD,SUP284
PRD2351,Thought,Grocery,BrandC,SUP260
PRD3077,Entire,Household,BrandB,SUP222
PRD9283,Radio,Beverages,BrandA,SUP228
PRD2259,Probably,Bakery,BrandC,SUP285
PRD5552,White,Personal Care,BrandB,SUP253
PRD5129,Head,Household,BrandC,SUP294
PRD3171,Agency,Beverages,BrandA,SUP240
PRD5603,General,Dairy,BrandB,SUP264
PRD5509,Money,Household,BrandB,SUP257
PRD5209,Choice,Household,BrandC,SUP269
PRD1232,Machine,Personal Care,BrandA,SUP235
PRD2827,Remember,Beverages,BrandB,SUP251
PRD3860,Thousand,Household,BrandB,SUP259
PRD3476,Admit,Bakery,BrandC,SUP268
PRD8317,Forget,Personal Care,BrandD,SUP251
PRD7058,Author,Beverages,BrandD,SUP292
PRD3873,Hold,Beverages,BrandC,SUP275
PRD5280,Box,Bakery,BrandB,SUP213
PRD4869,Water,Dairy,BrandC,SUP231
PRD8944,Turn,Bakery,BrandC,SUP233
PRD3962,Serious,Beverages,BrandB,SUP204
PRD9640,This,Household,BrandB,SUP269
PRD1542,Than,Beverages,BrandB,SUP280
PRD6617,Treat,Bakery,BrandB,SUP220
PRD2382,Probably,Dairy,BrandB,SUP218
PRD3376,Win,Personal Care,BrandB,SUP238
PRD3525,Yeah,Personal Care,BrandA,SUP212
PRD9125,Meeting,Personal Care,BrandB,SUP203
PRD7765,Money,Household,BrandA,SUP273
PRD7277,Especially,Household,BrandB,SUP202
PRD4898,Memory,Grocery,BrandC,SUP217
PRD8211,Federal,Household,BrandD,SUP210
PRD3740,Player,Grocery,BrandA,SUP209
PRD4454,Impact,Grocery,BrandB,SUP229
PRD6653,Senior,Grocery,BrandB,SUP255
PRD1890,Run,Grocery,BrandA,SUP292
PRD5331,Cost,Grocery,BrandB,SUP297
PRD2900,Form,Grocery,BrandA,SUP286
PRD1860,Memory,Dairy,BrandB,SUP204
PRD3745,Music,Grocery,BrandB,SUP207
PRD8602,Thing,Dairy,BrandC,SUP243
PRD7533,Life,Dairy,BrandD,SUP290
PRD8802,Manage,Beverages,BrandD,SUP257
PRD5937,Must,Household,BrandD,SUP264
PRD8803,Force,Beverages,BrandA,SUP266
PRD9724,Agent,Beverages,BrandA,SUP230
PRD4828,Always,Dairy,BrandD,SUP291
PRD7222,Week,Grocery,BrandD,SUP286
PRD7390,Treat,Dairy,BrandC,SUP271
PRD8775,Cause,Personal Care,BrandA,SUP247
PRD5302,Teacher,Dairy,BrandD,SUP204
PRD3378,Learn,Personal Care,BrandD,SUP219
PRD9690,Go,Bakery,BrandB,SUP256
PRD8122,Drug,Household,BrandD,SUP238
PRD1194,Get,Dairy,BrandC,SUP284
PRD5731,Reveal,Household,BrandC,SUP200
PRD8353,Evening,Beverages,BrandB,SUP273
PRD7258,Oil,Dairy,BrandA,SUP287
PRD6172,Those,Dairy,BrandB,SUP238
PRD9687,Pm,Grocery,BrandC,SUP201
PRD1672,Use,Personal Care,BrandC,SUP269
PRD2595,Fly,Beverages,BrandB,SUP262
PRD9704,Stay,Grocery,BrandC,SUP219
PRD6797,Check,Beverages,BrandA,SUP207
PRD8074,Media,Bakery,BrandB,SUP239
PRD5466,Indicate,Grocery,BrandB,SUP262
PRD6488,Old,Personal Care,BrandC,SUP296
PRD5429,Seek,Personal Care,BrandD,SUP249
PRD5375,Alone,Bakery,BrandB,SUP291
PRD2610,Really,Beverages,BrandB,SUP281
PRD5183,Note,Personal Care,BrandA,SUP246
PRD7408,Meeting,Personal Care,BrandB,SUP273
PRD8554,Culture,Household,BrandC,SUP202
PRD4961,Protect,Bakery,BrandB,SUP271
PRD4193,Player,Household,BrandA,SUP271
PRD9518,Science,Dairy,BrandB,SUP295
PRD6528,Its,Household,BrandC,SUP270
PRD3947,Senior,Beverages,BrandD,SUP222
PRD6132,Executive,Grocery,BrandA,SUP244
PRD9972,Student,Household,BrandA,SUP207
PRD1173,Training,Beverages,BrandA,SUP255
PRD1138,Seek,Bakery,BrandD,SUP251
PRD2113,Kid,Grocery,BrandB,SUP205
PRD1195,Strong,Grocery,BrandB,SUP298
PRD7737,Movement,Beverages,BrandB,SUP276
PRD2600,Keep,Bakery,BrandC,SUP254
PRD9605,Quite,Bakery,BrandA,SUP236
PRD2702,Current,Bakery,BrandC,SUP251
PRD8306,Same,Bakery,BrandA,SUP263
PRD6759,Remain,Beverages,BrandD,SUP269
PRD4594,Church,Grocery,BrandD,SUP288
PRD5641,Deep,Household,BrandA,SUP219
PRD5127,Sense,Household,BrandD,SUP251
PRD4163,Discussion,Dairy,BrandA,SUP264
PRD1557,Space,Bakery,BrandD,SUP207
PRD1388,That,Personal Care,BrandD,SUP226
PRD2506,Consider,Personal Care,BrandC,SUP289
PRD1931,Create,Beverages,BrandC,SUP263
PRD4552,Area,Bakery,BrandD,SUP296
PRD2995,Value,Grocery,BrandA,SUP293
PRD2965,People,Bakery,BrandB,SUP275
PRD2415,Sit,Household,BrandC,SUP235
PRD3128,Whole,Personal Care,BrandA,SUP212
PRD7159,Best,Dairy,BrandD,SUP256
PRD4027,Pick,Dairy,BrandC,SUP297
PRD2816,Area,Grocery,BrandB,SUP233
PRD4018,Tell,Dairy,BrandD,SUP242
PRD5150,Situation,Grocery,BrandB,SUP246
PRD5826,Answer,Beverages,BrandD,SUP227
PRD8650,This,Beverages,BrandB,SUP272
PRD2240,Box,Personal Care,BrandC,SUP226
PRD8429,No,Dairy,BrandA,SUP288
PRD5528,Else,Household,BrandB,SUP232
PRD7995,Give,Bakery,BrandB,SUP246
PRD6298,Exactly,Beverages,BrandC,SUP264
PRD5216,Republican,Grocery,BrandA,SUP273
PRD3653,Adult,Household,BrandC,SUP211
PRD2212,Couple,Beverages,BrandD,SUP236
PRD5543,Doctor,Household,BrandD,SUP229
PRD2022,Decade,Personal Care,BrandD,SUP227
PRD7271,Whatever,Dairy,BrandD,SUP259
PRD7366,Source,Household,BrandB,SUP235
PRD6450,These,Grocery,BrandB,SUP208
PRD1984,White,Dairy,BrandD,SUP247
PRD5230,Strong,Personal Care,BrandB,SUP282
PRD5336,Into,Bakery,BrandB,SUP257
PRD3915,Attorney,Grocery,BrandD,SUP219
PRD8218,Break,Personal Care,BrandA,SUP267
PRD2137,Prove,Personal Care,BrandB,SUP213
PRD9056,Step,Bakery,BrandA,SUP222
PRD4287,Property,Beverages,BrandB,SUP218
PRD7432,Your,Dairy,BrandA,SUP252
PRD3923,Cost,Dairy,BrandA,SUP233
PRD9061,Radio,Beverages,BrandA,SUP258
PRD2776,Per,Personal Care,BrandA,SUP266
PRD3357,Sign,Dairy,BrandD,SUP256
PRD9857,Career,Personal Care,BrandA,SUP239
PRD8065,Hundred,Grocery,BrandB,SUP267
PRD4578,Letter,Bakery,BrandC,SUP256
PRD2740,Hospital,Dairy,BrandD,SUP248
PRD8234,Conference,Beverages,BrandA,SUP224
PRD5243,Say,Grocery,BrandA,SUP218
PRD2692,Economic,Household,BrandD,SUP297
PRD1571,Life,Beverages,BrandA,SUP295
PRD2194,Herself,Household,BrandD,SUP278
PRD2153,Statement,Dairy,BrandC,SUP233
PRD5105,Stuff,Dairy,BrandA,SUP299
PRD8305,Democrat,Bakery,BrandB,SUP218
PRD1307,Manager,Bakery,BrandB,SUP293
PRD9154,Of,Dairy,BrandC,SUP235
PRD3438,More,Grocery,BrandA,SUP262
PRD1014,Couple,Dairy,BrandC,SUP238
PRD1619,With,Household,BrandC,SUP300
PRD7397,Skin,Household,BrandB,SUP278
PRD5365,Offer,Bakery,BrandC,SUP230
PRD3483,By,Household,BrandA,SUP291
PRD6403,Natural,Grocery,BrandD,SUP268
PRD7411,Leader,Dairy,BrandA,SUP271
PRD1060,Republican,Personal Care,BrandB,SUP219
PRD9444,East,Grocery,BrandB,SUP259
PRD9039,Moment,Beverages,BrandB,SUP273
PRD8833,Relationship,Personal Care,BrandD,SUP254
PRD8144,Knowledge,Grocery,BrandD,SUP224
PRD7617,Direction,Household,BrandC,SUP208
PRD2148,Wide,Personal Care,BrandB,SUP200
PRD9849,Guess,Grocery,BrandB,SUP214
PRD4700,Call,Dairy,BrandD,SUP220
PRD1054,Chair,Bakery,BrandB,SUP228
PRD7298,Network,Beverages,BrandB,SUP236
PRD8898,Million,Bakery,BrandA,SUP227
PRD2985,Office,Bakery,BrandC,SUP297
PRD9770,Number,Bakery,BrandC,SUP246
PRD6880,Better,Grocery,BrandB,SUP239
PRD6463,Worry,Household,BrandB,SUP223
PRD5961,White,Household,BrandA,SUP232
PRD7563,Reflect,Dairy,BrandD,SUP279
PRD1904,Total,Household,BrandB,SUP244
PRD2485,Tough,Bakery,BrandD,SUP244
PRD6985,Short,Dairy,BrandC,SUP279
PRD9759,Concern,Dairy,BrandC,SUP219
PRD6571,See,Personal Care,BrandD,SUP251
PRD2318,Man,Bakery,BrandB,SUP290
PRD8530,Too,Bakery,BrandB,SUP282
PRD5750,Daughter,Household,BrandA,SUP275
PRD4327,Picture,Dairy,BrandB,SUP238
PRD3893,Us,Beverages,BrandB,SUP253
PRD1644,Because,Dairy,BrandC,SUP275
PRD7294,Raise,Household,BrandC,SUP233
PRD4129,Up,Dairy,BrandC,SUP253
PRD5896,Behavior,Personal Care,BrandD,SUP269
PRD7391,Item,Beverages,BrandA,SUP231
PRD2749,Agreement,Bakery,BrandC,SUP228
PRD6886,Board,Dairy,BrandD,SUP300
PRD8970,Evidence,Dairy,BrandC,SUP274
PRD2390,Daughter,Grocery,BrandA,SUP263
PRD8175,With,Bakery,BrandC,SUP294
PRD4104,Foreign,Household,BrandD,SUP214
PRD3292,Leader,Grocery,BrandA,SUP225
PRD1584,War,Household,BrandB,SUP213
PRD4163,Discussion,Dairy,BrandA,SUP208
PRD1415,Carry,Personal Care,BrandC,SUP253
PRD4907,Have,Grocery,BrandD,SUP277
PRD9015,Item,Grocery,BrandC,SUP212
PRD7369,We,Beverages,BrandA,SUP231
PRD2032,Together,Grocery,BrandC,SUP243
PRD9856,Lead,Dairy,BrandD,SUP271
PRD6041,Democratic,Grocery,BrandD,SUP270
PRD9186,Somebody,Beverages,BrandD,SUP210
PRD9748,Help,Dairy,BrandC,SUP255
PRD8361,Of,Grocery,BrandB,SUP252
PRD1268,Toward,Beverages,BrandD,SUP244
PRD1606,Goal,Personal Care,BrandD,SUP279
PRD6558,Wife,Beverages,BrandB,SUP269
PRD1918,Describe,Grocery,BrandB,SUP211
PRD6533,Where,Grocery,BrandC,SUP264
PRD1701,Present,Grocery,BrandD,SUP237
PRD7643,Finally,Household,BrandB,SUP258
PRD2936,Remain,Grocery,BrandC,SUP204
PRD4468,Too,Household,BrandB,SUP262
PRD9570,Enter,Dairy,BrandD,SUP209
PRD8509,Community,Personal Care,BrandD,SUP206
PRD9791,Too,Grocery,BrandD,SUP299
PRD3440,Character,Beverages,BrandC,SUP266
PRD4817,Investment,Personal Care,BrandB,SUP247
PRD2180,In,Household,BrandB,SUP240
PRD1604,Finally,Bakery,BrandC,SUP245
PRD3319,Official,Beverages,BrandB,SUP233
PRD9010,National,Dairy,BrandA,SUP207
PRD1312,Back,Household,BrandD,SUP300
PRD8720,Could,Grocery,BrandA,SUP288
PRD1750,Husband,Personal Care,BrandD,SUP285
PRD4976,Plant,Grocery,BrandC,SUP259
PRD3138,Or,Grocery,BrandA,SUP234
PRD1235,Account,Household,BrandB,SUP224
PRD3822,Foot,Beverages,BrandB,SUP298
PRD1818,Miss,Beverages,BrandA,SUP237
PRD6035,His,Household,BrandC,SUP268
PRD2594,Five,Grocery,BrandB,SUP254
PRD8474,Religious,Beverages,BrandB,SUP258
PRD3796,Serve,Grocery,BrandC,SUP278
PRD2047,Here,Household,BrandA,SUP208
PRD2742,Forward,Grocery,BrandA,SUP271
PRD2870,Heart,Grocery,BrandC,SUP225
PRD9145,Tonight,Bakery,BrandD,SUP279
PRD4613,Control,Household,BrandB,SUP250
PRD2033,Behind,Beverages,BrandA,SUP231
PRD4320,Garden,Beverages,BrandB,SUP298
PRD7983,Thus,Grocery,BrandC,SUP283
PRD6527,Billion,Household,BrandC,SUP294
PRD7586,Be,Grocery,BrandD,SUP232
PRD6312,After,Bakery,BrandB,SUP208
PRD2979,Happen,Dairy,BrandD,SUP251
PRD9943,Prove,Household,BrandB,SUP219
PRD3250,Anyone,Personal Care,BrandD,SUP257
PRD6268,Authority,Beverages,BrandB,SUP288
PRD4493,Maintain,Bakery,BrandD,SUP248
PRD1746,Leg,Beverages,BrandB,SUP223
PRD3841,Single,Bakery,BrandA,SUP219
PRD6496,People,Bakery,BrandB,SUP249
PRD2035,Open,Personal Care,BrandA,SUP263
PRD2978,Member,Household,BrandD,SUP294
PRD5487,Work,Beverages,BrandD,SUP274
PRD3314,Prevent,Bakery,BrandA,SUP278
PRD7801,Year,Dairy,BrandC,SUP209
PRD3753,Born,Household,BrandC,SUP213
PRD7060,Usually,Household,BrandA,SUP281
PRD3703,Off,Personal Care,BrandC,SUP250
PRD8187,Sit,Grocery,BrandA,SUP253
PRD4991,Although,Bakery,BrandB,SUP211
PRD1666,Cover,Beverages,BrandB,SUP264
PRD3185,Base,Personal Care,BrandA,SUP285
PRD2637,Attention,Grocery,BrandB,SUP273
