Transaction_ID,Date,Date_Key,Store_ID,Product_ID,Quantity_Sold,Price_per_Unit,Total_Sale_Value,Discount_Percentage,Final_Sale_Value,Payment_Mode,Cashier_ID,Customer_ID,Day_of_Week,Is_Weekend,Supplier_ID,Product_Category,Product_Name,Brand,Customer_Age,Customer_Gender,Customer_City,Store_City,Store_Size_sqft,Store_Rating,Staff_Count,Inventory_Level
DMT100010,2024-02-12,11,STR44,PRD4311,14,126.05,1764.7,5,1676.47,Wallet,EMP706,CUST3616,Monday,False,SUP276,Grocery,Draw,BrandB,67,Male,East Patrick,Port Kristenshire,1728,3.4,16,982
DMT100011,2023-08-22,12,STR48,PRD2517,3,391.41,1174.23,10,1056.81,Cash,EMP750,CUST9284,Tuesday,False,SUP277,Beverages,Away,BrandA,44,Female,Port Robertview,Morrismouth,4904,3.5,19,263
DMT100012,2023-08-28,13,STR35,PRD8270,8,171.49,1371.92,5,1303.32,Card,EMP283,CUST8272,Monday,False,SUP216,Household,Head,BrandC,33,Other,Lake Annaburgh,Lake Brandiport,2883,3.7,18,231
DMT100013,2023-09-24,14,STR6,PRD9290,10,287.33,2873.3,15,2442.3,Cash,EMP316,CUST6876,Sunday,True,SUP211,Dairy,Wind,BrandB,25,Male,Allenhaven,New Nicoleside,2544,3.5,16,850
DMT100014,2024-08-22,15,STR38,PRD1408,9,139.7,1257.3,10,1131.57,Card,EMP148,CUST8554,Thursday,False,SUP235,Beverages,Word,BrandD,19,Male,Lake Jessicatown,Galvanfort,4762,3.6,31,442
DMT100015,2024-03-29,16,STR28,PRD8907,2,225.25,450.5,20,360.4,UPI,EMP496,CUST4722,Friday,False,SUP253,Bakery,Big,BrandB,64,Female,New Jacob,New Toni,3665,3.1,33,350
DMT100016,2025-05-07,17,STR3,PRD9192,18,178.5,3213.0,15,2731.05,Wallet,EMP452,CUST8668,Wednesday,False,SUP215,Beverages,Turn,BrandA,54,Male,West Kristenshire,Murrayburgh,1549,3.9,35,651
DMT100017,2023-09-06,18,STR2,PRD3524,18,391.17,7041.06,20,5632.85,Wallet,EMP199,CUST8563,Wednesday,False,SUP211,Dairy,Record,BrandA,43,Other,South William,Stephensfurt,4212,4.4,39,103
DMT100018,2025-07-05,19,STR6,PRD4116,8,293.26,2346.08,15,1994.17,Cash,EMP218,CUST7021,Saturday,True,SUP274,Bakery,Admit,BrandD,66,Male,Littletown,New Nicoleside,2544,3.5,16,850
DMT100019,2025-07-09,20,STR14,PRD6572,8,23.17,185.36,20,148.29,Cash,EMP590,CUST8137,Wednesday,False,SUP215,Grocery,Third,BrandA,52,Female,North Doris,Lake Heatherland,3417,3.2,27,325
DMT100020,2024-04-25,21,STR15,PRD8921,4,14.28,57.12,15,48.55,Card,EMP523,CUST5862,Thursday,False,SUP273,Beverages,Executive,BrandB,47,Female,Port Alexanderfort,Douglashaven,4091,4.3,48,935
DMT100021,2025-02-25,22,STR33,PRD9579,18,166.44,2995.92,5,2846.12,UPI,EMP670,CUST2685,Tuesday,False,SUP265,Beverages,Data,BrandA,29,Other,Riveramouth,Bellport,2236,3.9,11,542
DMT100022,2024-07-30,23,STR39,PRD6084,8,364.02,2912.16,15,2475.34,Cash,EMP264,CUST1354,Tuesday,False,SUP225,Personal Care,Number,BrandB,41,Male,East James,Lake Robertmouth,2847,3.2,27,439
DMT100023,2024-10-25,24,STR2,PRD6363,18,135.35,2436.3,10,2192.67,Card,EMP965,CUST6046,Friday,False,SUP273,Beverages,Main,BrandC,37,Male,New Jessica,Stephensfurt,4212,4.4,39,103
DMT100024,2024-10-01,25,STR36,PRD3347,1,397.93,397.93,20,318.34,Wallet,EMP959,CUST7061,Tuesday,False,SUP214,Personal Care,Choose,BrandA,20,Other,Nicoleburgh,West Garyhaven,2128,4.5,37,250
DMT100025,2025-04-12,26,STR13,PRD2609,4,109.07,436.28,5,414.47,Card,EMP432,CUST3259,Saturday,True,SUP227,Household,Evidence,BrandB,46,Male,Lorimouth,South Jason,4847,4.6,42,866
DMT100026,2025-06-18,27,STR46,PRD9456,13,418.5,5440.5,5,5168.48,UPI,EMP221,CUST1515,Wednesday,False,SUP237,Dairy,Site,BrandB,49,Other,Susanside,North Brittanystad,3852,4.5,26,158
DMT100027,2024-08-17,28,STR42,PRD3174,19,115.21,2188.99,0,2188.99,UPI,EMP427,CUST8844,Saturday,True,SUP221,Bakery,Recognize,BrandD,67,Other,Diazberg,East Catherine,4157,4.8,41,360
DMT100028,2024-11-18,29,STR45,PRD4361,7,384.09,2688.63,0,2688.63,UPI,EMP255,CUST3070,Monday,False,SUP284,Household,Street,BrandD,65,Female,South Shawnville,New David,4975,3.2,39,208
DMT100029,2024-10-28,30,STR35,PRD1598,9,270.84,2437.56,20,1950.05,Card,EMP913,CUST6529,Monday,False,SUP229,Personal Care,Evening,BrandD,34,Other,Port Kennethberg,Lake Brandiport,2883,3.7,18,231
DMT100030,2025-01-19,31,STR27,PRD8526,16,330.34,5285.44,15,4492.62,Cash,EMP951,CUST5464,Sunday,True,SUP215,Household,Coach,BrandD,52,Male,North Peterside,West Tara,2754,3.7,37,869
DMT100031,2023-11-04,32,STR15,PRD7350,14,55.42,775.88,0,775.88,Wallet,EMP617,CUST1101,Saturday,True,SUP241,Household,Skin,BrandD,51,Male,Lake Tylerland,Douglashaven,4091,4.3,48,935
DMT100032,2025-03-26,33,STR29,PRD9558,19,430.61,8181.59,10,7363.43,Wallet,EMP626,CUST4162,Wednesday,False,SUP227,Dairy,Road,BrandA,64,Male,New Nicole,Alexanderhaven,2441,3.2,34,510
DMT100033,2025-02-03,34,STR38,PRD2897,3,401.35,1204.05,10,1083.65,Cash,EMP126,CUST9114,Monday,False,SUP204,Beverages,Maintain,BrandD,66,Other,New Diamond,Galvanfort,4762,3.6,31,442
DMT100034,2024-10-26,35,STR18,PRD1067,5,91.49,457.45,15,388.83,UPI,EMP143,CUST7312,Saturday,True,SUP254,Household,Drug,BrandB,22,Other,Tiffanyborough,Deniseland,3334,4.0,27,564
DMT100035,2023-08-26,36,STR1,PRD6095,7,74.73,523.11,10,470.8,Card,EMP417,CUST5295,Saturday,True,SUP212,Household,Though,BrandA,44,Male,Benjaminhaven,West Hannahland,4375,4.0,28,328
DMT100036,2025-07-11,37,STR49,PRD1721,16,6.32,101.12,20,80.9,Card,EMP723,CUST5897,Friday,False,SUP200,Dairy,Cold,BrandB,50,Other,Powellshire,West Kevin,3833,4.6,21,353
DMT100037,2023-10-28,38,STR11,PRD2426,16,293.22,4691.52,10,4222.37,Cash,EMP526,CUST2304,Saturday,True,SUP267,Bakery,Beautiful,BrandD,27,Female,South Jonathanfort,New Sheilaside,3625,3.4,20,946
DMT100038,2024-10-25,24,STR45,PRD6460,20,385.0,7700.0,0,7700.0,Cash,EMP125,CUST4167,Friday,False,SUP234,Household,Box,BrandD,18,Female,Mariaberg,New David,4975,3.2,39,208
DMT100039,2024-04-15,39,STR28,PRD8649,8,430.0,3440.0,0,3440.0,Wallet,EMP943,CUST4877,Monday,False,SUP280,Grocery,Yeah,BrandD,35,Female,North Patrick,New Toni,3665,3.1,33,350
DMT100040,2025-05-27,40,STR22,PRD1755,20,31.62,632.4,5,600.78,Wallet,EMP473,CUST1382,Tuesday,False,SUP295,Bakery,Green,BrandB,31,Male,Jamesview,Port Derrickmouth,4757,4.6,39,566
DMT100041,2024-08-09,41,STR18,PRD2689,18,205.43,3697.74,5,3512.85,UPI,EMP380,CUST9397,Friday,False,SUP225,Bakery,Think,BrandA,28,Male,West Beverlyfort,Deniseland,3334,4.0,27,564
DMT100042,2023-08-20,42,STR10,PRD9529,1,474.98,474.98,15,403.73,Cash,EMP528,CUST5168,Sunday,True,SUP299,Bakery,That,BrandB,51,Female,Davidmouth,Johnview,2306,3.9,10,491
DMT100043,2025-07-01,43,STR14,PRD6119,3,124.29,372.87,15,316.94,Wallet,EMP677,CUST6232,Tuesday,False,SUP220,Dairy,Administration,BrandB,23,Male,Edwardstad,Lake Heatherland,3417,3.2,27,325
DMT100044,2023-07-20,44,STR49,PRD1368,6,433.24,2599.44,5,2469.47,Wallet,EMP124,CUST6914,Thursday,False,SUP231,Beverages,Surface,BrandD,26,Male,North Jessicaborough,West Kevin,3833,4.6,21,353
DMT100045,2025-06-15,45,STR22,PRD6114,6,176.16,1056.96,0,1056.96,UPI,EMP482,CUST3552,Sunday,True,SUP295,Bakery,Bill,BrandD,47,Female,Port Jenniferside,Port Derrickmouth,4757,4.6,39,566
DMT100046,2025-07-09,20,STR7,PRD4438,1,183.17,183.17,0,183.17,Cash,EMP963,CUST3214,Wednesday,False,SUP284,Dairy,Upon,BrandA,49,Male,West Regina,North Jeffreyshire,3335,4.2,19,870
DMT100047,2025-02-01,46,STR6,PRD6257,3,234.59,703.77,10,633.39,Cash,EMP144,CUST7135,Saturday,True,SUP214,Personal Care,Another,BrandD,31,Other,Lawrencehaven,New Nicoleside,2544,3.5,16,850
DMT100048,2025-04-21,47,STR25,PRD4285,13,66.87,869.31,15,738.91,Cash,EMP618,CUST6304,Monday,False,SUP285,Grocery,Wear,BrandC,25,Other,East Kevinborough,Port Johnathan,2931,3.3,30,1000
DMT100049,2024-03-22,48,STR7,PRD4154,7,30.22,211.54,15,179.81,Cash,EMP407,CUST5757,Friday,False,SUP220,Household,Too,BrandD,66,Other,East Sarah,North Jeffreyshire,3335,4.2,19,870
DMT100050,2025-07-06,49,STR23,PRD5695,4,28.63,114.52,20,91.62,UPI,EMP758,CUST5188,Sunday,True,SUP206,Household,Big,BrandD,47,Other,East Danielville,Nathanstad,4227,3.9,50,576
DMT100051,2023-12-04,50,STR23,PRD5532,17,65.92,1120.64,0,1120.64,UPI,EMP759,CUST3052,Monday,False,SUP210,Bakery,Week,BrandC,66,Other,South Michelle,Nathanstad,4227,3.9,50,576
DMT100052,2024-04-30,51,STR39,PRD9720,12,169.85,2038.2,10,1834.38,UPI,EMP700,CUST3770,Tuesday,False,SUP238,Grocery,Relationship,BrandB,47,Other,Robertbury,Lake Robertmouth,2847,3.2,27,439
DMT100053,2025-07-01,43,STR17,PRD6228,6,129.87,779.22,0,779.22,Cash,EMP858,CUST9347,Tuesday,False,SUP267,Household,Choose,BrandB,36,Female,Lake Sarah,Longberg,2249,5.0,16,345
DMT100054,2023-10-27,52,STR3,PRD8227,1,230.15,230.15,20,184.12,Card,EMP442,CUST6588,Friday,False,SUP259,Bakery,Box,BrandC,61,Other,Karinachester,Murrayburgh,1549,3.9,35,651
DMT100055,2025-02-20,53,STR47,PRD2927,1,118.21,118.21,5,112.3,Wallet,EMP773,CUST2164,Thursday,False,SUP298,Beverages,Voice,BrandB,70,Female,Port Thomas,North Matthew,4709,3.8,13,954
DMT100056,2024-08-17,28,STR30,PRD5467,5,147.43,737.15,20,589.72,Wallet,EMP189,CUST5247,Saturday,True,SUP229,Household,Usually,BrandA,69,Male,South Shannon,North Stephen,2384,3.9,44,811
DMT100057,2023-07-25,54,STR35,PRD3446,8,480.67,3845.36,5,3653.09,Wallet,EMP586,CUST2493,Tuesday,False,SUP244,Household,Radio,BrandA,28,Female,Patelburgh,Lake Brandiport,2883,3.7,18,231
DMT100058,2025-04-26,55,STR8,PRD3580,19,123.99,2355.81,10,2120.23,Cash,EMP866,CUST4851,Saturday,True,SUP237,Beverages,Since,BrandD,61,Other,Bentonmouth,Shaneview,2310,4.0,49,117
DMT100059,2025-06-17,56,STR25,PRD5483,4,40.52,162.08,15,137.77,Cash,EMP114,CUST7423,Tuesday,False,SUP236,Grocery,Check,BrandC,48,Male,North Richard,Port Johnathan,2931,3.3,30,1000
DMT100060,2023-07-23,57,STR6,PRD2875,12,447.74,5372.88,10,4835.59,Card,EMP365,CUST4320,Sunday,True,SUP249,Household,Region,BrandC,52,Female,West Kimberlyhaven,New Nicoleside,2544,3.5,16,850
DMT100061,2023-07-22,58,STR36,PRD1249,5,134.9,674.5,20,539.6,Card,EMP228,CUST3423,Saturday,True,SUP218,Grocery,Write,BrandB,56,Male,Haleside,West Garyhaven,2128,4.5,37,250
DMT100062,2025-01-09,59,STR19,PRD9422,7,270.6,1894.2,0,1894.2,Cash,EMP926,CUST6752,Thursday,False,SUP247,Grocery,Group,BrandA,59,Female,Port Jake,North Michaelfurt,3569,4.3,48,821
DMT100063,2024-02-29,60,STR41,PRD2677,3,71.08,213.24,5,202.58,Wallet,EMP150,CUST6165,Thursday,False,SUP278,Beverages,Yeah,BrandC,67,Male,Port Carriehaven,Acostaberg,1915,3.9,13,837
DMT100064,2025-01-10,61,STR40,PRD4384,7,179.44,1256.08,15,1067.67,Card,EMP877,CUST9649,Friday,False,SUP257,Bakery,Allow,BrandB,34,Female,East Adamport,Fletcherside,4417,3.7,21,673
DMT100065,2024-02-08,62,STR24,PRD9888,8,185.81,1486.48,0,1486.48,UPI,EMP389,CUST8064,Thursday,False,SUP285,Grocery,Bring,BrandB,30,Male,Clarkmouth,New Cynthia,1941,3.9,23,119
DMT100066,2024-08-21,63,STR37,PRD6739,13,481.15,6254.95,15,5316.71,Wallet,EMP590,CUST2778,Wednesday,False,SUP235,Beverages,Sea,BrandA,48,Other,Williamsfurt,Lake Cody,4588,4.1,34,853
DMT100067,2024-06-03,64,STR13,PRD6218,7,171.7,1201.9,10,1081.71,UPI,EMP315,CUST4853,Monday,False,SUP202,Personal Care,Remain,BrandB,52,Female,New Kristinberg,South Jason,4847,4.6,42,866
DMT100068,2024-01-10,65,STR46,PRD5440,3,131.01,393.03,0,393.03,Cash,EMP959,CUST4458,Wednesday,False,SUP215,Dairy,No,BrandA,61,Male,New Gregory,North Brittanystad,3852,4.5,26,158
DMT100069,2024-10-16,66,STR5,PRD3319,10,115.51,1155.1,20,924.08,Cash,EMP122,CUST4109,Wednesday,False,SUP288,Beverages,Official,BrandB,53,Male,Lisahaven,West Rileymouth,2203,3.5,31,971
DMT100070,2024-04-11,67,STR3,PRD5641,1,138.83,138.83,10,124.95,Cash,EMP636,CUST4498,Thursday,False,SUP240,Household,Deep,BrandA,48,Other,Evelynhaven,Murrayburgh,1549,3.9,35,651
DMT100071,2024-12-03,68,STR43,PRD5011,19,483.37,9184.03,5,8724.83,Cash,EMP948,CUST1176,Tuesday,False,SUP213,Dairy,Perhaps,BrandA,28,Female,Lake Cherylshire,Lake Stephaniehaven,4116,4.6,17,178
DMT100072,2025-04-12,26,STR15,PRD3806,18,318.77,5737.86,5,5450.97,Card,EMP550,CUST6698,Saturday,True,SUP262,Household,Feeling,BrandC,35,Female,Lake Gregory,Douglashaven,4091,4.3,48,935
DMT100073,2025-05-10,69,STR50,PRD2167,6,157.97,947.82,0,947.82,Wallet,EMP672,CUST8005,Saturday,True,SUP281,Household,Resource,BrandA,26,Other,East Jacob,West Andreafurt,2938,4.8,37,908
DMT100074,2025-04-09,70,STR19,PRD6101,3,199.79,599.37,10,539.43,Wallet,EMP656,CUST2630,Wednesday,False,SUP215,Household,Travel,BrandC,47,Other,Odomberg,North Michaelfurt,3569,4.3,48,821
DMT100075,2024-07-08,71,STR6,PRD6549,6,167.76,1006.56,20,805.25,UPI,EMP941,CUST4723,Monday,False,SUP237,Bakery,Hand,BrandD,40,Other,Christopherport,New Nicoleside,2544,3.5,16,850
DMT100076,2023-09-28,72,STR15,PRD9856,16,326.11,5217.76,15,4435.1,Wallet,EMP551,CUST2767,Thursday,False,SUP289,Dairy,Lead,BrandD,50,Female,South Mariaburgh,Douglashaven,4091,4.3,48,935
DMT100077,2024-11-27,73,STR7,PRD8268,2,236.46,472.92,5,449.27,UPI,EMP439,CUST2276,Wednesday,False,SUP227,Personal Care,Sometimes,BrandC,68,Other,Erintown,North Jeffreyshire,3335,4.2,19,870
DMT100078,2024-07-25,74,STR25,PRD1831,6,311.69,1870.14,15,1589.62,Card,EMP229,CUST3029,Thursday,False,SUP245,Dairy,Rise,BrandC,23,Other,Annaton,Port Johnathan,2931,3.3,30,1000
DMT100079,2024-11-27,73,STR18,PRD3131,8,160.47,1283.76,20,1027.01,Wallet,EMP495,CUST4999,Wednesday,False,SUP250,Dairy,Politics,BrandD,35,Female,Davisland,Deniseland,3334,4.0,27,564
DMT100080,2024-01-22,75,STR30,PRD1475,4,122.7,490.8,0,490.8,Card,EMP329,CUST9071,Monday,False,SUP219,Personal Care,Bank,BrandC,19,Female,West Ericbury,North Stephen,2384,3.9,44,811
DMT100081,2025-01-07,76,STR41,PRD8712,18,76.56,1378.08,5,1309.18,UPI,EMP264,CUST3288,Tuesday,False,SUP264,Dairy,Material,BrandD,62,Male,Dennisport,Acostaberg,1915,3.9,13,837
DMT100082,2024-11-14,77,STR24,PRD1826,20,186.53,3730.6,0,3730.6,Wallet,EMP269,CUST4385,Thursday,False,SUP220,Grocery,Tough,BrandA,42,Other,Lake John,New Cynthia,1941,3.9,23,119
DMT100083,2024-03-18,78,STR11,PRD2735,14,189.58,2654.12,20,2123.3,Cash,EMP992,CUST7888,Monday,False,SUP244,Grocery,Year,BrandA,38,Male,Masonton,New Sheilaside,3625,3.4,20,946
DMT100084,2025-03-25,79,STR24,PRD7284,16,278.58,4457.28,0,4457.28,UPI,EMP866,CUST8690,Tuesday,False,SUP208,Bakery,Eat,BrandA,21,Other,West Allenchester,New Cynthia,1941,3.9,23,119
DMT100085,2025-03-14,80,STR23,PRD1881,6,417.82,2506.92,10,2256.23,UPI,EMP634,CUST1886,Friday,False,SUP246,Beverages,Particular,BrandB,64,Other,Smithhaven,Nathanstad,4227,3.9,50,576
DMT100086,2023-08-23,81,STR14,PRD2410,2,338.7,677.4,0,677.4,Cash,EMP993,CUST9382,Wednesday,False,SUP235,Grocery,Agent,BrandD,39,Other,Stevenland,Lake Heatherland,3417,3.2,27,325
DMT100087,2024-08-15,82,STR43,PRD7987,4,293.13,1172.52,20,938.02,Wallet,EMP360,CUST3955,Thursday,False,SUP202,Personal Care,Enjoy,BrandD,52,Female,Josestad,Lake Stephaniehaven,4116,4.6,17,178
DMT100088,2023-09-20,83,STR18,PRD7421,6,484.14,2904.84,0,2904.84,Card,EMP402,CUST3043,Wednesday,False,SUP271,Bakery,Either,BrandD,18,Other,New Amy,Deniseland,3334,4.0,27,564
DMT100089,2023-08-18,84,STR45,PRD3932,20,175.29,3505.8,5,3330.51,Cash,EMP218,CUST4461,Friday,False,SUP230,Beverages,Interview,BrandC,70,Other,Campbellmouth,New David,4975,3.2,39,208
DMT100090,2024-05-12,85,STR44,PRD8304,12,374.68,4496.16,15,3821.74,Card,EMP338,CUST7069,Sunday,True,SUP243,Beverages,Investment,BrandC,64,Male,Olsonville,Port Kristenshire,1728,3.4,16,982
DMT100091,2024-02-05,86,STR42,PRD6826,20,154.2,3084.0,20,2467.2,Cash,EMP336,CUST3882,Monday,False,SUP255,Personal Care,Series,BrandD,54,Other,North Maryville,East Catherine,4157,4.8,41,360
DMT100092,2024-04-27,87,STR5,PRD6119,1,246.46,246.46,0,246.46,Card,EMP795,CUST3487,Saturday,True,SUP227,Dairy,Administration,BrandB,58,Other,Williamsbury,West Rileymouth,2203,3.5,31,971
DMT100093,2023-08-13,88,STR39,PRD6444,8,464.34,3714.72,0,3714.72,Cash,EMP296,CUST2251,Sunday,True,SUP205,Bakery,Though,BrandD,41,Other,West Kristenchester,Lake Robertmouth,2847,3.2,27,439
DMT100094,2025-02-06,89,STR41,PRD4246,4,53.37,213.48,10,192.13,Card,EMP429,CUST2920,Thursday,False,SUP295,Bakery,Center,BrandC,31,Male,South Bryan,Acostaberg,1915,3.9,13,837
DMT100095,2024-12-17,90,STR11,PRD9740,15,207.35,3110.25,15,2643.71,Card,EMP665,CUST2254,Tuesday,False,SUP215,Grocery,Will,BrandD,24,Male,Port Angela,New Sheilaside,3625,3.4,20,946
DMT100096,2024-11-05,91,STR35,PRD2286,16,26.93,430.88,20,344.7,Wallet,EMP767,CUST2701,Tuesday,False,SUP236,Grocery,Green,BrandD,45,Other,West Charles,Lake Brandiport,2883,3.7,18,231
DMT100097,2024-03-11,92,STR47,PRD8629,11,394.77,4342.47,0,4342.47,Card,EMP155,CUST9463,Monday,False,SUP280,Beverages,Wait,BrandC,37,Female,Pattersonfurt,North Matthew,4709,3.8,13,954
DMT100098,2023-08-05,93,STR16,PRD3159,13,455.42,5920.46,10,5328.41,Wallet,EMP982,CUST1490,Saturday,True,SUP281,Grocery,Ball,BrandA,46,Female,Jeffreystad,Port Misty,2652,4.5,33,171
DMT100099,2023-08-05,93,STR11,PRD2522,19,387.84,7368.96,15,6263.62,Card,EMP279,CUST9999,Saturday,True,SUP244,Bakery,Herself,BrandD,21,Other,East Christina,New Sheilaside,3625,3.4,20,946
DMT100100,2024-09-26,94,STR30,PRD8672,1,134.93,134.93,10,121.44,UPI,EMP799,CUST4539,Thursday,False,SUP213,Beverages,Rest,BrandB,41,Other,Lake Brianshire,North Stephen,2384,3.9,44,811
DMT100101,2025-07-07,95,STR25,PRD2593,1,321.94,321.94,10,289.75,Cash,EMP175,CUST1800,Monday,False,SUP251,Grocery,Thank,BrandD,57,Other,Port Brianstad,Port Johnathan,2931,3.3,30,1000
DMT100102,2025-05-09,96,STR18,PRD8464,1,389.46,389.46,20,311.57,Cash,EMP161,CUST9312,Friday,False,SUP233,Household,Every,BrandC,58,Other,East Aliciashire,Deniseland,3334,4.0,27,564
DMT100103,2024-04-18,97,STR41,PRD6085,4,208.22,832.88,10,749.59,Card,EMP320,CUST8898,Thursday,False,SUP278,Grocery,Modern,BrandD,34,Female,Simsland,Acostaberg,1915,3.9,13,837
DMT100104,2024-08-04,98,STR45,PRD8625,19,122.98,2336.62,0,2336.62,Cash,EMP591,CUST4494,Sunday,True,SUP268,Beverages,Evidence,BrandA,53,Male,Hatfieldchester,New David,4975,3.2,39,208
DMT100105,2024-06-03,64,STR36,PRD8709,3,372.12,1116.36,10,1004.72,Card,EMP866,CUST4587,Monday,False,SUP285,Bakery,Hold,BrandC,68,Male,Jasminfurt,West Garyhaven,2128,4.5,37,250
DMT100106,2024-02-28,99,STR15,PRD4796,15,329.32,4939.8,20,3951.84,Cash,EMP588,CUST4385,Wednesday,False,SUP262,Personal Care,Exactly,BrandC,42,Other,Lake John,Douglashaven,4091,4.3,48,935
DMT100107,2024-10-09,100,STR44,PRD4666,13,481.35,6257.55,0,6257.55,Cash,EMP115,CUST1765,Wednesday,False,SUP253,Dairy,East,BrandA,47,Male,Lake Stephen,Port Kristenshire,1728,3.4,16,982
DMT100108,2025-05-22,101,STR21,PRD3354,11,154.47,1699.17,10,1529.25,Card,EMP128,CUST2035,Thursday,False,SUP258,Bakery,Prevent,BrandA,39,Other,Lake Christopherborough,Lake Tiffany,4979,3.7,11,581
DMT100109,2025-01-24,102,STR50,PRD5227,7,5.93,41.51,0,41.51,Wallet,EMP245,CUST4084,Friday,False,SUP234,Household,Particular,BrandD,30,Other,Lake Michaelshire,West Andreafurt,2938,4.8,37,908
DMT100110,2025-02-20,53,STR50,PRD6954,6,14.03,84.18,20,67.34,Card,EMP344,CUST9458,Thursday,False,SUP255,Beverages,Only,BrandB,62,Other,West Terriport,West Andreafurt,2938,4.8,37,908
DMT100111,2023-08-20,42,STR4,PRD7423,10,55.37,553.7,5,526.01,Card,EMP945,CUST2350,Sunday,True,SUP265,Bakery,Which,BrandC,35,Female,Johnsonton,Lake Amanda,4567,4.5,33,422
DMT100112,2024-09-27,103,STR15,PRD4004,10,203.22,2032.2,20,1625.76,Wallet,EMP319,CUST7926,Friday,False,SUP235,Personal Care,Up,BrandC,20,Female,Baxterhaven,Douglashaven,4091,4.3,48,935
DMT100113,2025-02-27,104,STR3,PRD6412,17,298.49,5074.33,10,4566.9,Cash,EMP425,CUST1344,Thursday,False,SUP258,Grocery,Do,BrandB,48,Male,Christineview,Murrayburgh,1549,3.9,35,651
DMT100114,2024-10-30,105,STR21,PRD6320,8,488.02,3904.16,5,3708.95,UPI,EMP655,CUST3649,Wednesday,False,SUP283,Household,Poor,BrandD,59,Other,Port Franciscoton,Lake Tiffany,4979,3.7,11,581
DMT100115,2024-05-01,106,STR26,PRD8426,9,318.63,2867.67,15,2437.52,Cash,EMP242,CUST1292,Wednesday,False,SUP276,Personal Care,Watch,BrandB,58,Female,Lake Carlosbury,Shepherdview,4221,4.7,10,163
DMT100116,2025-06-14,107,STR18,PRD8987,7,52.53,367.71,20,294.17,Wallet,EMP303,CUST9358,Saturday,True,SUP278,Beverages,Attack,BrandA,58,Male,Bowmanburgh,Deniseland,3334,4.0,27,564
DMT100117,2024-07-01,108,STR5,PRD1495,17,366.12,6224.04,20,4979.23,Wallet,EMP438,CUST3510,Monday,False,SUP206,Beverages,Can,BrandD,31,Other,West Jordan,West Rileymouth,2203,3.5,31,971
DMT100118,2023-12-25,109,STR14,PRD2070,16,248.89,3982.24,0,3982.24,UPI,EMP923,CUST7668,Monday,False,SUP251,Household,Up,BrandC,29,Other,Sheriborough,Lake Heatherland,3417,3.2,27,325
DMT100119,2024-08-11,110,STR37,PRD8787,4,296.98,1187.92,0,1187.92,Card,EMP979,CUST9297,Sunday,True,SUP298,Dairy,Tv,BrandD,52,Male,Harperview,Lake Cody,4588,4.1,34,853
